Model,MD5,Accel,batchsize,avg_latency(ms),min_latency(ms),max_latency(ms),run_id
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_ampere,8,471.02,211.81,5306.05,efficientnet-b7_ampere_8_stats.json
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_pascal,1,74.7,72.35,105.2,efficientnet-b7_pascal_1_stats.json
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_pascal,2,405.16,129.77,5579.55,efficientnet-b7_pascal_2_stats.json
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_pascal,4,520.83,248.17,5621.93,efficientnet-b7_pascal_4_stats.json
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_pascal,8,789.67,472.02,6693.82,efficientnet-b7_pascal_8_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_ampere,1,26.01,21.64,61.21,mobilenet0.25_ampere_1_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_ampere,2,52.98,40.03,246.68,mobilenet0.25_ampere_2_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_ampere,4,89.01,73.09,336.31,mobilenet0.25_ampere_4_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_ampere,8,133.7,117.83,373.13,mobilenet0.25_ampere_8_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_pascal,1,23.77,21.01,61.45,mobilenet0.25_pascal_1_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_pascal,2,49.01,35.91,259.17,mobilenet0.25_pascal_2_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_pascal,4,80.76,67.39,256.97,mobilenet0.25_pascal_4_stats.json
mobilenet0.25.onnx,e9747ac036c5077aeb422608bc61c3bf,onnxruntime_gpu_pascal,8,132.93,118.31,341.15,mobilenet0.25_pascal_8_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_ampere,1,25.51,21.29,60.08,mobilenet0.5_ampere_1_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_ampere,2,60.61,37.83,417.34,mobilenet0.5_ampere_2_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_ampere,4,94.5,70.16,446.92,mobilenet0.5_ampere_4_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_ampere,8,142.13,113.85,531.2,mobilenet0.5_ampere_8_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_pascal,1,23.41,20.48,56.88,mobilenet0.5_pascal_1_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_pascal,2,55.45,36.16,387.77,mobilenet0.5_pascal_2_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_pascal,4,87.73,69.49,373.17,mobilenet0.5_pascal_4_stats.json
mobilenet0.5.onnx,959f2442a368e071641a0da7f8acc141,onnxruntime_gpu_pascal,8,136.86,113.82,463.62,mobilenet0.5_pascal_8_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_ampere,1,25.73,22.73,58.83,mobilenet0.75_ampere_1_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_ampere,2,68.09,40.07,550.7,mobilenet0.75_ampere_2_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_ampere,4,100.4,72.52,582.55,mobilenet0.75_ampere_4_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_ampere,8,151.44,118.98,666.37,mobilenet0.75_ampere_8_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_pascal,1,24.03,21.68,55.49,mobilenet0.75_pascal_1_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_pascal,2,60.83,37.3,474.52,mobilenet0.75_pascal_2_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_pascal,4,91.57,67.84,488.8,mobilenet0.75_pascal_4_stats.json
mobilenet0.75.onnx,9734f4399c352dc91645ac62d2059d0d,onnxruntime_gpu_pascal,8,147.66,116.44,631.65,mobilenet0.75_pascal_8_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_ampere,1,25.87,22.42,64.99,mobilenet1.0_ampere_1_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_ampere,2,75.46,41.7,674.5,mobilenet1.0_ampere_2_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_ampere,4,108.93,72.31,726.12,mobilenet1.0_ampere_4_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_ampere,8,154.25,116.21,743.83,mobilenet1.0_ampere_8_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_pascal,1,23.36,20.36,70.17,mobilenet1.0_pascal_1_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_pascal,2,64.42,35.88,586.65,mobilenet1.0_pascal_2_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_pascal,4,97.78,68.8,593.27,mobilenet1.0_pascal_4_stats.json
mobilenet1.0.onnx,4aa14bd2c8f7762949ee2820c6095fc6,onnxruntime_gpu_pascal,8,154.65,118.17,744.4,mobilenet1.0_pascal_8_stats.json
resnest14.onnx,4b8c40726d91644127d98c6633f8a993,onnxruntime_gpu_ampere,1,29.19,24.39,64.85,resnest14_ampere_1_stats.json
